Sample,X,Y,Z
345,0.016,-0.125,0.930
346,0.023,-0.137,0.918
347,0.023,-0.137,0.922
348,0.020,-0.145,0.914
349,0.016,-0.117,0.922
350,0.020,-0.129,0.926
351,0.016,-0.133,0.918
352,0.020,-0.148,0.914
353,0.016,-0.133,0.918
354,0.016,-0.121,0.930
355,0.020,-0.137,0.922
356,0.031,-0.152,0.910
357,0.012,-0.129,0.926
358,0.023,-0.121,0.938
359,0.012,-0.117,0.930
360,0.055,-0.133,0.922
361,0.020,-0.152,0.930
362,0.023,-0.129,0.930
363,0.016,-0.109,0.934
364,0.027,-0.129,0.930
365,0.016,-0.152,0.926
366,0.020,-0.133,0.922
367,0.020,-0.117,0.941
368,0.020,-0.117,0.938
369,0.016,-0.145,0.930
370,0.023,-0.141,0.926
371,0.020,-0.125,0.934
372,0.012,-0.121,0.938
373,0.031,-0.133,0.930
374,0.016,-0.137,0.922
375,0.016,-0.133,0.926
376,0.016,-0.129,0.934
377,0.027,-0.125,0.930
378,0.020,-0.145,0.918
379,0.016,-0.152,0.922
380,-0.027,-0.133,0.934
381,0.012,-0.125,0.930
382,0.020,-0.137,0.922
383,0.023,-0.152,0.914
384,0.020,-0.117,0.918
385,0.020,-0.117,0.926
386,0.020,-0.137,0.922
387,0.020,-0.145,0.914
388,0.008,-0.133,0.918
389,0.020,-0.129,0.922
390,0.031,-0.125,0.922
391,0.016,-0.141,0.918
392,0.016,-0.137,0.930
393,0.020,-0.129,0.926
394,0.023,-0.117,0.922
395,0.020,-0.137,0.926
396,0.020,-0.141,0.918
397,0.023,-0.133,0.926
398,0.012,-0.129,0.938
399,0.023,-0.121,0.930
400,0.066,-0.133,0.934
401,0.055,-0.152,0.926
402,0.020,-0.137,0.930
403,0.020,-0.113,0.934
404,0.023,-0.125,0.934
405,0.020,-0.148,0.926
406,0.023,-0.145,0.922
407,0.016,-0.133,0.938
408,0.031,-0.117,0.930
409,0.023,-0.125,0.930
410,0.023,-0.133,0.918
411,0.023,-0.148,0.918
412,0.020,-0.129,0.926
413,0.031,-0.113,0.941
414,0.027,-0.125,0.922
415,0.016,-0.164,0.918
416,0.023,-0.141,0.914
417,0.016,-0.121,0.926
418,0.008,-0.121,0.930
419,0.027,-0.125,0.914
420,0.047,-0.145,0.883
421,0.016,-0.164,0.918
422,0.023,-0.102,0.926
423,0.016,-0.113,0.922
424,0.008,-0.156,0.910
425,0.023,-0.141,0.914
426,0.027,-0.125,0.922
427,0.008,-0.121,0.938
428,0.004,-0.129,0.918
429,0.020,-0.141,0.926
430,0.031,-0.137,0.922
431,0.023,-0.117,0.934
432,0.016,-0.129,0.938
433,0.012,-0.133,0.930
434,0.008,-0.141,0.922
435,0.023,-0.141,0.930
436,0.035,-0.113,0.930
437,0.020,-0.129,0.938
438,0.020,-0.145,0.930
439,0.023,-0.141,0.926
440,-0.027,-0.121,0.953
441,0.039,-0.137,0.934
442,0.016,-0.148,0.926
443,0.031,-0.133,0.922
444,0.016,-0.125,0.938
445,0.023,-0.129,0.934
446,0.023,-0.137,0.922
447,0.023,-0.145,0.922
448,0.020,-0.129,0.930
449,0.016,-0.129,0.926
450,0.012,-0.137,0.934
451,0.012,-0.133,0.926
452,0.031,-0.141,0.918
453,0.008,-0.129,0.934
454,0.016,-0.129,0.922
455,0.016,-0.129,0.922
456,0.020,-0.137,0.922
457,0.020,-0.141,0.918
458,0.023,-0.121,0.918
459,0.012,-0.133,0.934
460,-0.004,-0.141,0.914
461,0.004,-0.113,0.926
462,0.012,-0.141,0.930
463,0.023,-0.141,0.914
464,0.023,-0.113,0.922
465,0.020,-0.125,0.922
466,0.008,-0.133,0.926
467,0.023,-0.137,0.922
468,0.027,-0.137,0.926
469,0.020,-0.125,0.930
470,0.020,-0.125,0.934
471,0.027,-0.137,0.918
472,0.020,-0.141,0.926
473,0.031,-0.133,0.926
474,0.023,-0.125,0.934
475,0.016,-0.133,0.922
476,0.012,-0.141,0.930
477,0.027,-0.133,0.930
478,0.027,-0.133,0.930
479,0.027,-0.121,0.926
480,0.012,-0.156,0.898
481,0.016,-0.137,0.922
482,0.031,-0.129,0.922
483,0.016,-0.148,0.938
484,0.035,-0.137,0.918
485,0.016,-0.133,0.930
486,0.012,-0.141,0.930
487,0.023,-0.141,0.926
488,0.035,-0.137,0.922
489,0.012,-0.141,0.930
490,0.023,-0.121,0.930
491,0.027,-0.125,0.922
492,0.023,-0.141,0.922
493,0.012,-0.148,0.922
494,0.020,-0.125,0.918
495,0.020,-0.117,0.941
496,0.023,-0.129,0.930
497,0.023,-0.145,0.914
498,0.020,-0.152,0.918
499,0.008,-0.133,0.926
500,0.020,-0.109,0.918
501,0.008,-0.137,0.910
502,0.031,-0.148,0.914
503,0.023,-0.137,0.930
504,0.016,-0.113,0.934
505,0.012,-0.133,0.930
506,0.031,-0.145,0.914
507,0.023,-0.141,0.926
508,0.027,-0.137,0.926
509,0.031,-0.121,0.934
510,0.020,-0.121,0.930
511,0.020,-0.141,0.922
512,0.027,-0.133,0.926
513,0.020,-0.125,0.926
514,0.016,-0.129,0.930
515,0.031,-0.121,0.926
516,0.027,-0.133,0.922
517,0.020,-0.133,0.926
518,0.016,-0.133,0.922
519,0.031,-0.129,0.922
520,0.043,-0.145,0.902
521,0.023,-0.137,0.926
522,0.023,-0.125,0.934
523,0.027,-0.133,0.930
524,0.020,-0.137,0.930
525,0.027,-0.141,0.922
526,0.027,-0.133,0.930
527,0.016,-0.129,0.930
528,0.027,-0.133,0.926
529,0.023,-0.141,0.926
530,0.023,-0.133,0.918
531,0.031,-0.113,0.926
532,0.023,-0.133,0.926
533,0.023,-0.129,0.930
534,0.023,-0.160,0.922
