Sample,X,Y,Z
296,-0.516,-0.488,0.863
297,0.203,-0.480,0.820
298,0.172,-0.250,0.992
299,0.406,-0.074,0.863
300,0.160,-0.203,0.805
301,-0.199,-0.297,0.930
302,0.094,-0.250,0.938
303,-0.250,-0.410,0.992
304,-0.105,-0.402,0.816
305,-0.004,-0.344,0.680
306,-0.344,-0.352,0.852
307,-0.285,-0.105,1.090
308,0.332,-0.230,1.004
309,0.035,-0.234,1.027
310,0.035,-0.344,0.781
311,-0.270,-0.469,0.672
312,-0.324,-0.410,0.836
313,0.523,-0.102,0.953
314,0.148,-0.105,1.172
315,0.195,-0.133,0.918
316,-0.211,-0.473,0.695
317,-0.992,-0.535,0.773
318,0.098,-0.293,0.754
319,-0.078,-0.105,1.148
320,0.473,-0.031,1.109
321,0.266,-0.227,0.984
322,-0.660,-0.367,0.988
323,-0.281,-0.488,0.664
324,-0.047,-0.523,0.812
325,0.465,-0.105,0.941
326,0.430,-0.219,0.922
327,-0.074,-0.223,0.895
328,-0.605,-0.398,0.805
329,0.180,-0.371,0.699
330,0.137,-0.199,1.004
331,0.406,-0.168,1.000
332,0.145,-0.109,0.957
333,-0.574,-0.312,0.922
334,-0.289,-0.477,0.734
335,-0.281,-0.398,0.957
336,0.852,-0.133,0.859
337,-0.008,-0.172,1.113
338,-0.078,-0.211,0.859
339,-0.320,-0.535,0.656
340,-0.766,-0.457,0.918
341,0.508,-0.320,0.867
342,0.711,-0.082,1.086
343,-0.062,0.020,1.172
344,0.270,-0.266,0.664
345,-0.926,-0.559,0.828
346,-0.215,-0.422,0.754
347,-0.051,-0.332,0.926
348,0.258,-0.129,1.059
349,0.422,-0.207,0.879
350,-0.660,-0.352,0.945
351,-0.102,-0.348,0.793
352,0.137,-0.371,0.871
353,0.145,-0.160,0.992
354,0.340,-0.207,0.891
355,-0.121,-0.215,0.914
356,-0.562,-0.473,0.883
357,0.301,-0.395,0.762
358,0.234,-0.086,1.055
359,0.070,-0.320,0.953
360,-0.059,-0.305,0.879
361,-0.348,-0.324,0.844
362,-0.238,-0.375,0.855
