Sample,X,Y,Z
319,-0.137,-0.301,0.957
320,0.145,-0.270,1.043
321,0.074,-0.137,0.883
322,-0.402,-0.375,0.758
323,-0.551,-0.426,0.777
324,-0.207,-0.383,0.965
325,0.125,-0.250,1.082
326,0.207,-0.199,1.043
327,0.504,-0.316,0.691
328,-0.711,-0.469,0.852
329,0.328,-0.422,0.727
330,0.348,-0.258,1.082
331,0.156,-0.094,1.211
332,0.188,-0.223,0.875
333,-0.211,-0.371,0.691
334,-0.383,-0.461,0.672
335,-0.152,-0.293,0.883
336,0.055,-0.336,1.004
337,0.340,-0.145,1.027
338,-0.094,-0.184,0.879
339,-0.469,-0.488,0.609
340,-0.484,-0.516,0.668
341,-0.074,-0.445,0.875
342,0.484,-0.191,1.043
343,0.375,-0.102,1.039
344,0.035,-0.340,0.750
345,-0.504,-0.344,0.793
346,-0.098,-0.449,0.824
347,0.355,-0.203,1.000
348,0.367,-0.176,1.078
349,-0.105,-0.277,0.855
350,-0.191,-0.352,0.613
351,-0.488,-0.559,0.805
352,-0.031,-0.285,0.992
353,0.383,-0.168,1.145
354,0.633,-0.176,0.941
355,-0.453,-0.301,0.883
356,-0.426,-0.480,0.668
357,-0.324,-0.547,0.812
358,0.012,-0.203,1.082
359,0.535,-0.227,1.047
360,0.637,-0.184,0.820
361,-0.254,-0.121,0.773
362,-0.539,-0.402,0.633
363,-0.363,-0.508,0.781
364,-0.035,-0.320,1.051
365,0.074,-0.230,1.023
366,-0.293,-0.277,0.895
367,0.086,-0.344,0.672
368,0.043,-0.301,0.867
369,0.168,-0.223,1.105
370,0.340,-0.293,1.035
371,-0.316,-0.293,1.004
372,-0.137,-0.480,0.566
373,0.234,-0.410,0.551
374,-0.105,-0.137,1.020
375,0.918,-0.219,0.852
376,0.918,-0.219,0.852
377,0.133,-0.203,1.035
378,-0.508,-0.297,0.852
379,-0.652,-0.523,0.570
380,-0.945,-0.586,0.852
381,0.441,-0.223,0.996
382,0.398,-0.082,1.258
383,0.566,0.004,1.082
384,-0.312,-0.246,0.840
385,-0.691,-0.602,0.684
386,-0.254,-0.594,0.809
387,-0.039,-0.312,1.031
388,0.758,-0.191,0.863
389,0.461,-0.121,0.824
390,-0.320,-0.332,0.703
391,-0.316,-0.426,0.691
392,-0.293,-0.461,0.969
393,0.012,-0.324,1.086
394,0.039,-0.160,1.039
395,-0.207,-0.230,0.840
396,0.238,-0.359,0.617
397,-0.234,-0.312,1.055
398,0.555,-0.309,1.062
399,0.035,-0.242,1.129
400,-0.082,-0.281,0.777
401,-0.199,-0.492,0.488
402,-0.527,-0.441,0.719
403,0.219,-0.238,0.859
404,0.613,-0.223,0.992
405,0.211,-0.055,1.078
406,-0.328,-0.199,0.816
407,-0.730,-0.574,0.645
408,-0.332,-0.473,0.766
409,-0.164,-0.211,1.109
410,0.355,-0.316,1.105
411,0.426,-0.230,0.914
412,-0.133,-0.297,0.863
413,-0.340,-0.297,0.820
414,0.043,-0.500,0.844
415,0.227,-0.172,1.035
416,0.254,-0.312,0.887
417,-0.199,-0.184,0.824
418,0.117,-0.402,0.578
419,-0.184,-0.246,0.895
420,0.016,-0.289,1.012
421,0.215,-0.332,0.988
422,-0.453,-0.344,0.984
423,-0.328,-0.312,0.734
424,0.133,-0.441,0.688
425,-0.297,-0.230,1.102
426,0.711,-0.305,0.922
427,-0.031,-0.207,1.105
428,-0.297,-0.324,0.855
429,-0.012,-0.371,0.590
430,-0.250,-0.355,0.805
431,0.098,-0.207,0.891
432,0.297,-0.266,0.891
433,-0.078,-0.316,0.887
434,-0.445,-0.383,0.703
435,-0.625,-0.480,0.746
436,0.391,-0.312,0.855
437,0.238,-0.137,1.191
438,0.312,-0.066,1.094
439,-0.160,-0.359,0.898
440,-0.434,-0.469,0.719
441,-0.059,-0.512,0.871
442,0.195,-0.168,0.988
443,0.203,-0.246,0.961
444,0.168,-0.250,0.773
445,-0.680,-0.375,0.797
446,-0.309,-0.332,0.668
447,-0.062,-0.398,0.820
448,0.203,-0.215,1.043
449,0.059,-0.191,0.984
450,-0.195,-0.312,0.793
451,-0.543,-0.520,0.887
452,0.047,-0.359,0.848
453,0.238,-0.293,1.051
454,0.676,-0.176,1.047
455,0.270,-0.238,0.922
456,-0.125,-0.316,0.750
457,-0.219,-0.434,0.680
458,-0.012,-0.195,0.859
459,-0.012,-0.348,1.004
460,0.395,-0.203,0.832
461,-0.254,-0.336,0.848
462,-0.426,-0.398,0.750
463,-0.051,-0.383,0.789
464,0.207,-0.273,1.012
465,0.195,-0.203,1.004
466,-0.262,-0.344,0.934
467,-0.199,-0.387,0.766
468,-0.363,-0.344,0.875
469,0.434,-0.336,0.887
470,0.453,-0.172,1.016
471,0.160,-0.160,1.043
472,-0.207,-0.273,0.727
473,-0.625,-0.469,0.652
474,-0.840,-0.438,0.824
475,0.273,-0.414,0.824
476,0.340,-0.168,1.121
477,0.184,-0.082,1.043
478,-0.070,-0.301,0.785
479,-0.547,-0.469,0.812
480,-0.199,-0.457,0.910
481,0.051,-0.258,1.105
482,0.254,-0.164,1.031
483,0.430,-0.285,0.758
484,0.051,-0.281,0.699
485,-0.426,-0.355,0.875
486,0.141,-0.383,0.797
487,-0.148,-0.281,0.992
488,0.023,-0.301,0.855
489,0.090,-0.246,0.668
490,-0.172,-0.359,0.828
491,-0.062,-0.258,1.012
492,0.570,-0.328,1.020
493,0.184,-0.160,1.137
494,-0.078,-0.348,0.863
495,-0.078,-0.348,0.863
496,-0.184,-0.535,0.605
497,-0.012,-0.273,0.750
498,-0.035,-0.309,0.965
499,0.555,-0.301,0.855
500,0.242,-0.203,0.910
501,-0.219,-0.254,0.781
502,-0.562,-0.344,0.723
503,-0.504,-0.406,0.879
504,0.164,-0.387,0.980
505,0.320,-0.012,1.062
506,-0.367,-0.289,1.043
507,-0.074,-0.473,0.645
508,-0.535,-0.480,0.871
509,-0.098,-0.270,0.934
510,-0.070,-0.359,0.996
511,0.211,-0.238,0.867
512,-0.062,-0.305,0.773
513,-0.484,-0.316,0.781
514,-0.008,-0.285,0.859
515,0.270,-0.273,0.988
516,-0.156,-0.188,1.152
517,0.453,-0.270,0.785
518,-0.133,-0.305,0.824
519,-0.418,-0.242,0.824
520,0.117,-0.547,0.797
521,0.328,-0.344,0.977
522,-0.258,-0.277,1.109
523,0.039,-0.285,0.777
524,-0.008,-0.371,0.762
525,0.215,-0.219,0.883
526,0.062,-0.270,0.996
527,0.578,-0.215,0.848
528,0.051,-0.309,0.867
