Sample,X,Y,Z
327,0.031,-0.066,0.930
328,0.023,-0.070,0.934
329,0.027,-0.074,0.938
330,0.023,-0.066,0.934
331,0.016,-0.090,0.934
332,0.031,-0.070,0.930
333,0.027,-0.066,0.934
334,0.020,-0.086,0.926
335,0.031,-0.082,0.922
336,0.027,-0.078,0.926
337,0.020,-0.098,0.910
338,0.035,-0.066,0.926
339,0.027,-0.078,0.934
340,0.008,-0.086,0.914
341,0.020,-0.066,0.938
342,0.031,-0.082,0.930
343,0.020,-0.074,0.934
344,0.031,-0.066,0.926
345,0.027,-0.078,0.934
346,0.031,-0.078,0.930
347,0.031,-0.066,0.930
348,0.031,-0.086,0.926
349,0.027,-0.059,0.934
350,0.035,-0.078,0.934
351,0.031,-0.078,0.934
352,0.031,-0.070,0.930
353,0.016,-0.070,0.941
354,0.023,-0.062,0.938
355,0.023,-0.078,0.934
356,0.023,-0.078,0.934
357,0.020,-0.066,0.938
358,0.031,-0.082,0.934
359,0.023,-0.059,0.934
360,0.039,-0.082,0.922
361,0.031,-0.082,0.926
362,0.020,-0.062,0.930
363,0.012,-0.082,0.945
364,0.023,-0.070,0.926
365,0.031,-0.062,0.930
366,0.031,-0.078,0.930
367,0.027,-0.074,0.938
368,0.020,-0.074,0.926
369,0.027,-0.078,0.938
370,0.027,-0.062,0.926
371,0.023,-0.082,0.934
372,0.031,-0.070,0.926
373,0.016,-0.086,0.926
374,0.023,-0.078,0.930
375,0.020,-0.066,0.930
376,0.027,-0.086,0.926
377,0.023,-0.078,0.918
378,0.023,-0.062,0.938
379,0.020,-0.094,0.938
380,0.078,-0.059,0.934
381,0.023,-0.086,0.926
382,0.016,-0.082,0.934
383,0.020,-0.070,0.930
384,0.012,-0.078,0.938
385,0.035,-0.066,0.934
386,0.023,-0.090,0.930
387,0.027,-0.078,0.938
388,0.016,-0.074,0.938
389,0.027,-0.070,0.930
390,0.035,-0.082,0.941
391,0.047,-0.074,0.938
392,0.027,-0.086,0.930
393,0.012,-0.066,0.945
394,0.035,-0.078,0.938
395,0.039,-0.082,0.934
396,0.035,-0.062,0.938
397,0.031,-0.070,0.930
398,0.023,-0.078,0.934
399,0.023,-0.070,0.938
400,-0.004,-0.066,0.902
401,0.031,-0.070,0.938
402,0.027,-0.070,0.926
403,0.016,-0.070,0.922
404,0.020,-0.074,0.930
405,0.012,-0.078,0.938
406,0.035,-0.051,0.930
407,0.031,-0.086,0.934
408,0.016,-0.082,0.918
409,0.012,-0.070,0.922
410,0.004,-0.070,0.930
411,0.031,-0.074,0.930
412,0.031,-0.078,0.918
413,0.008,-0.078,0.930
414,0.000,-0.070,0.926
415,0.023,-0.070,0.934
416,0.031,-0.062,0.934
417,0.027,-0.086,0.930
418,0.035,-0.078,0.922
419,0.012,-0.062,0.938
420,0.020,-0.070,0.961
421,0.020,-0.078,0.930
422,0.031,-0.082,0.930
423,0.020,-0.082,0.934
424,0.027,-0.059,0.938
425,0.027,-0.074,0.934
426,0.020,-0.090,0.938
427,0.023,-0.082,0.930
428,0.023,-0.074,0.934
429,0.031,-0.066,0.930
430,0.023,-0.078,0.938
431,0.012,-0.094,0.938
432,0.031,-0.086,0.926
433,0.020,-0.066,0.941
434,0.020,-0.086,0.930
435,0.016,-0.074,0.930
436,0.020,-0.094,0.922
437,0.016,-0.059,0.934
438,0.027,-0.070,0.930
439,0.016,-0.082,0.930
440,0.047,-0.082,0.949
441,0.035,-0.098,0.938
442,0.027,-0.074,0.934
443,0.020,-0.070,0.934
444,0.027,-0.066,0.926
445,0.000,-0.086,0.938
446,0.016,-0.070,0.926
447,0.020,-0.074,0.930
448,0.035,-0.070,0.934
449,0.012,-0.078,0.930
450,0.020,-0.070,0.930
451,0.031,-0.066,0.930
452,0.016,-0.082,0.941
453,0.031,-0.062,0.922
454,0.008,-0.082,0.938
455,0.016,-0.062,0.926
456,0.020,-0.086,0.934
457,0.020,-0.078,0.930
458,0.023,-0.066,0.934
459,0.027,-0.074,0.930
460,0.047,-0.082,0.945
461,0.023,-0.066,0.938
462,0.016,-0.078,0.941
463,0.023,-0.078,0.934
464,0.016,-0.078,0.930
465,0.023,-0.074,0.934
466,0.023,-0.070,0.930
467,0.016,-0.062,0.941
468,0.031,-0.070,0.934
469,0.023,-0.078,0.934
470,0.023,-0.078,0.938
471,0.008,-0.074,0.941
472,0.027,-0.066,0.934
473,0.020,-0.078,0.938
474,0.023,-0.070,0.934
475,0.016,-0.086,0.945
476,0.027,-0.070,0.934
477,0.012,-0.078,0.926
478,0.023,-0.078,0.922
479,0.016,-0.082,0.926
480,0.035,-0.078,0.918
481,0.016,-0.078,0.934
482,0.035,-0.066,0.926
483,0.016,-0.086,0.930
484,0.016,-0.086,0.922
485,0.012,-0.078,0.934
486,0.020,-0.078,0.930
487,0.027,-0.074,0.930
488,0.016,-0.078,0.930
489,0.020,-0.062,0.926
490,0.008,-0.086,0.926
491,0.020,-0.086,0.938
492,0.027,-0.059,0.926
493,0.012,-0.078,0.938
494,0.023,-0.070,0.930
495,0.012,-0.066,0.945
496,0.023,-0.086,0.930
497,0.023,-0.070,0.934
498,0.016,-0.070,0.930
499,0.016,-0.066,0.934
500,0.031,-0.066,0.891
501,0.016,-0.102,0.941
502,0.027,-0.062,0.938
503,0.020,-0.074,0.934
504,0.023,-0.070,0.930
505,0.027,-0.062,0.934
506,0.012,-0.078,0.945
507,0.020,-0.078,0.926
508,0.027,-0.074,0.926
509,0.004,-0.082,0.938
510,0.016,-0.066,0.930
511,0.031,-0.074,0.930
512,0.020,-0.078,0.926
513,0.020,-0.070,0.934
514,0.016,-0.074,0.930
515,0.016,-0.066,0.934
516,0.023,-0.078,0.938
517,0.016,-0.086,0.926
518,0.023,-0.059,0.934
519,0.020,-0.082,0.930
520,0.027,-0.059,0.961
521,0.055,-0.082,0.934
522,0.020,-0.074,0.934
523,0.023,-0.062,0.938
524,0.016,-0.066,0.945
525,0.012,-0.074,0.926
526,0.031,-0.078,0.941
527,0.023,-0.082,0.934
528,0.016,-0.066,0.934
529,0.023,-0.078,0.930
530,0.020,-0.078,0.938
531,0.023,-0.066,0.930
532,0.008,-0.086,0.938
533,0.027,-0.070,0.930
534,0.016,-0.059,0.934
535,0.020,-0.082,0.934
536,0.012,-0.078,0.930
537,0.020,-0.078,0.930
538,0.012,-0.078,0.934
539,0.023,-0.074,0.941
540,0.043,-0.082,0.895
541,0.012,-0.070,0.926
542,0.020,-0.070,0.930
543,0.023,-0.086,0.934
544,0.027,-0.066,0.922
545,0.016,-0.070,0.930
546,0.020,-0.074,0.930
547,0.027,-0.066,0.934
548,0.023,-0.074,0.926
549,0.012,-0.078,0.934
550,0.023,-0.066,0.930
551,0.016,-0.066,0.934
552,0.016,-0.070,0.926
553,0.016,-0.086,0.926
554,0.020,-0.078,0.930
555,0.027,-0.074,0.938
556,0.023,-0.070,0.926
557,0.023,-0.059,0.934
558,0.027,-0.082,0.918
559,0.020,-0.098,0.926
560,0.062,-0.066,0.941
561,0.039,-0.066,0.934
562,0.023,-0.074,0.934
563,0.035,-0.070,0.938
564,0.023,-0.090,0.926
565,0.020,-0.070,0.934
566,0.031,-0.066,0.926
567,0.023,-0.090,0.934
568,0.023,-0.070,0.930
569,0.027,-0.074,0.938
570,0.027,-0.062,0.934
571,0.031,-0.078,0.934
572,0.027,-0.082,0.934
573,0.027,-0.059,0.941
574,0.027,-0.070,0.938
575,0.027,-0.082,0.938
576,0.023,-0.078,0.926
577,0.020,-0.078,0.934
578,0.020,-0.059,0.938
579,0.023,-0.070,0.938
580,0.047,-0.082,0.898
581,0.020,-0.078,0.926
582,0.020,-0.082,0.930
583,0.027,-0.062,0.926
584,0.027,-0.066,0.930
585,0.031,-0.090,0.934
586,0.020,-0.078,0.930
587,0.012,-0.070,0.930
588,0.016,-0.070,0.926
589,0.031,-0.070,0.926
590,0.020,-0.086,0.922
591,0.023,-0.066,0.930
592,0.020,-0.066,0.934
593,0.035,-0.082,0.926
594,0.023,-0.062,0.938
595,0.012,-0.074,0.934
596,0.020,-0.062,0.941
597,0.035,-0.074,0.938
598,0.023,-0.082,0.938
599,0.027,-0.078,0.930
600,0.027,-0.074,0.914
601,0.008,-0.074,0.930
